news_headline,news_article,news_category
Choose better words: Saina's husband Parupalli to Siddharth on alleged lewd tweet,"Shuttler Parupalli Kashyap, the husband of shuttler Saina Nehwal, responded to actor Siddharth for his alleged lewd tweet about his wife Saina. ""This is upsetting for us...express ur (your) opinion but choose better words man,"" Parupalli Kashyap tweeted to the actor. Actor Siddharth had tweeted ""Subtle cock champion of the world"" to Saina and later clarified, ""Nothing disrespectful was intended"".",sports
"My daughter has won medals for India, what has he done? Nehwal's father on Siddharth","Reacting to actor Siddharth's alleged lewd tweet about Saina Nehwal, the badminton player's father Harvir said, ""My daughter has won medals, brought laurels for India. What has he done for the country?"" ""I felt very bad when he used such words for my daughter,"" he further said. Harvir further demanded an apology from the actor.",sports
Making cheap comment on Saina shows ignoble mentality: Law Minister on Siddharth,"Union Law Minister Kiren Rijiju has said that making a cheap comment on an iconic personality like Saina Nehwal depicted a person's ""ignoble mentality"". Rijiju added India is proud of Saina for her outstanding contributions and she is a steadfast patriot besides being an Olympic medalist. This comes after actor Siddharth's ""Subtle cock champion of the world"" tweet targeting Nehwal.",sports
Saina demeaned for her political stand by so-called popular actor: Smriti Irani,"Union Minister Smriti Irani said badminton player Saina Nehwal was demeaned for her political position by a ""so-called popular actor"".  She added, ""Ms Nehwal had a point of view. But she was demeaned and objectified. Should such men be brought to justice?"" Actor Siddharth had tweeted ""Subtle cock champion of the world"" retweeting Nehwal's tweet on PM Modi's security breach.",sports
"Who is 17-yr-old Fateh, Indian-origin cricketer with Alopecia in England U-19 WC squad?","Fateh Singh, a bowling all-rounder who's a part of England squad for Under-19 World Cup, was born on April 20, 2004 in Nottingham. Fateh's grandfather had shifted to UK from Patiala in 1965. Seven years ago, the 17-year-old developed Alopecia, an autoimmune disorder that led to complete hair loss. He was named Nottinghamshire Academy Player of the year in 2021.",sports
"Sushil fired at dogs, assaulted fellow wrestlers hours before Sagar's murder: Chargesheet","Hours before the abduction and murder of wrestler Sagar Dhankhar, Olympic medallist Sushil Kumar, the main accused, fired at dogs at the Chhatrasal stadium, Delhi Police said in a chargesheet. He also assaulted fellow athletes with his pistol and forced them to leave, they added. Sushil wanted to kill Sagar as he was collecting information on him, a co-accused claimed.",sports
India announce their playing XI for 3rd Test against South Africa,"India have won the toss and elected to bat first in third Test against South Africa in Cape Town. India captain Virat Kohli is back in the playing XI, replacing Hanuma Vihari. Injured Mohammed Siraj has been replaced by Umesh Yadav. Virat said, ""Umesh has been very potent with ball recently, very handy in field and with bat as well.""",sports
Djokovic shares pic from training in Australia after court overturns visa cancellation,"Novak Djokovic took to Twitter to share a picture from his training in Australia ahead of Australian Open 2022. Djokovic's post came after he won a court case against his deportation and a judge overturned his visa cancellation. ""Despite all that has happened, I want to stay and try to compete in Australian Open...I remain focussed on that,"" he wrote.",sports
IPL history's most expensive buy Chris Morris retires from all forms of cricket ,"South African all-rounder Chris Morris has announced his retirement from all forms of cricket at the age of 34. Morris, who became the most expensive buy in IPL history after being bought by Rajasthan Royals for ₹16.25 crore in 2021 auction, took 94 wickets and scored 773 runs in 69 matches for South Africa across formats between 2012 and 2019.",sports
"Transitions happen naturally, can't be forced: Kohli on Pujara-Rahane form","Talking about Cheteshwar Pujara and Ajinkya Rahane's current batting form ahead of third India-South Africa Test, India Test captain Virat Kohli said that the transition has to happen naturally and cannot be forced. ""I can't pinpoint when we'll have those [transition] conversations,"" he added. Pujara and Rahane haven't hit a century since January 2019 and December 2020 respectively.",sports
"Kohli is world class player, brings different dynamic to game: Elgar","South Africa skipper Dean Elgar said India Test captain Virat Kohli is a ""world class player"" and very experienced within his squad. ""Kohli brings a different dynamic to the game...his name speaks for itself,"" he added. India and South Africa will play the third and final Test in Cape Town, beginning on Tuesday. Currently, series is levelled at 1-1.",sports
It's the 1st time I've seen Kohli low on confidence: Manjrekar,"Former India player Sanjay Manjrekar said that this is the first time he has seen India Test captain Virat Kohli low on confidence. ""We have seen that because he hasn't scored runs, his self-confidence has dipped a bit,"" Manjrekar stated. He added that it is possible that Kohli could bounce back in form in the third Test against South Africa.",sports
Managing Anderson's retirement is key for Test team's future: Vaughan,"Ex-England captain Michael Vaughan has said managing England pacer James Anderson's retirement is going to be key for the team in future. ""His future is the big elephant in the room. England will find it hard without Jimmy [Anderson], but in time, they will rebuild,"" he added. Having played 169 Tests, the 39-year-old is second-most capped cricketer in Test cricket.",sports
I'm nowhere near done: Rabada ahead of his 50th Test in Cape Town,"South Africa pacer Kagiso Rabada, who'll be playing his 50th Test on Tuesday in Cape Town against India, said he's nowhere near done. ""For me it's about longevity...this is definitely a personal milestone,"" he added. The 26-year-old has taken 226 Test wickets so far. Notably, Rabada is fastest South African bowler to reach 200 Test wickets in terms of age.",sports
Ashwin can be India's spinning all-rounder in any condition: Kohli,"Ahead of third and final Test against South Africa, Team India Test skipper Virat Kohli said off-spinner Ravichandran Ashwin can play the role of spinning all-rounder for the side in any condition.  He added that Ashwin made an outstanding contribution to the team with his batting and bowling in the second Test. He hit 62 runs and took one wicket.",sports
Buttler is very close to inheriting white-ball captaincy: Vaughan,"Ex-England captain Michael Vaughan said he thinks that England wicketkeeper-batter Jos Buttler is very close to inheriting the limited-overs captaincy. ""If Eoin Morgan finds form this summer, then keep him, but if not then make Buttler captain for the T20 World Cup in November,"" he stated. Buttler scored 269 and Morgan 68 runs in T20 World Cup 2021.",sports
It's not serious: Rangnick on Ronaldo missing FA Cup win due to injury,"Explaining Cristiano Ronaldo's absence from their 1-0 FA Cup third-round win over Aston Villa, Manchester United interim coach Ralf Rangnick said Cristiano is having some problems with his hip muscles. ""Cristiano told me he's had some problems for the last couple of days...it's [not] serious...[but] we thought it would be better to not take any risks,"" Rangnick stated. ",sports
24-time world champion cueist Pankaj tests positive for COVID-19,"Twenty-four time world champion cueist Pankaj Advani has tested positive for COVID-19, the 36-year-old confirmed on Monday. ""Have been shivering the last two days and feeling feverish,"" he tweeted. ""Despite taking all precautions, I ended up getting infected. I've never experienced this kind of shivering and thought of testing myself...hopefully I'll recover in a week,"" Pankaj added.",sports
"Rahul tried his best, handled captaincy in 2nd Test in balanced way: Kohli ","Team India Test captain Virat Kohli has said that KL Rahul handled captaincy in a balanced way in the second Test against South Africa. ""What I saw from his plans and field placements is that he tried his best to get wickets...I don't think anything much could have [been] done,"" Kohli stated. SA won the second Test by seven wickets. ",sports
It was damaging on all fronts: ATP on Djokovic's visa controversy ,"The ATP, governing body of men's tennis, has welcomed the Australian court's ruling against world number one Novak Djokovic's deportation over his COVID-19 vaccine medical exemption. The body, however, also added that the controversy has been ""damaging on all fronts"". It further said that the situation highlighted the need for a clearer understanding and communication of the rules. ",sports
Team India will be feeling more pressure: Nehra on 3rd SA-India Test,"Ex-India pacer Ashish Nehra has said India will feel more pressure as compared to South Africa in the final Test, beginning on Tuesday. ""India were leading 1-0 [but] the way South Africa chased 240 in testing conditions [in the second Test], they've definitely put India under [more] pressure,"" he explained. India have never won a Test series in South Africa.",sports
SA's 2015 ODI series win in India stands out for me: Rabada,"South Africa pacer Kagiso Rabada revealed that victory against India in 2015 ODI series stands out for him. ""We became...first South African touring team to beat India in an ODI series away from home,"" he added. South Africa had won series 3-2 after being tied at 2-2. Third India-South Africa Test, beginning Tuesday, will be the 26-year-old's 50th Test. 
 
",sports
Jhye Richardson is more skillful bowler than Scott Boland: Ponting,"Ex-Australia captain Ricky Ponting has opined that Australia pacer Jhye Richardson is ""better and more skillful"" than Scott Boland. ""Richardson is probably a more skillful bowler when you think about all the conditions,"" Ponting stated. He further added that pitches at the MCG and SCG favoured Boland. Boland has taken 14 wickets in two Tests of the ongoing Ashes series.",sports
It's great to finish off career with win and a wicket: Taylor,"Speaking after his career's last Test match, New Zealand batter Ross Taylor said it was great to finish off with a ""win and a wicket"". Taylor picked his Test career's third wicket to help NZ defeat Bangladesh by an innings and 117 runs. ""I've thoroughly enjoyed representing my country...it's a great way to finish,"" Taylor stated.",sports
It's the biggest game for us in last 10-15 years: Elgar on 3rd SA-India Test,"South Africa captain Dean Elgar has said the third and final Test against India is the biggest game for them in the last 10-15 years. He added, ""Beating the world number one side even though it's in your back garden, it's still going to speak massive amounts for our players."" The third Test will begin on Tuesday in Cape Town.",sports
"Protestors throw seaweed, stones at French MP over COVID-19 vaccine pass","Protestors opposing a bill on COVID-19 vaccine pass, threw seaweed, dirt and stones at French MP Stéphane Claireaux, outside his home. A video of the incident has also surfaced on social media. The French government is seeking to pass a law that would require residents to show proof of their vaccination to access public venues and transport.",world
US sees record COVID-19 hospitalisations as record 11 lakh test positive,"COVID-19 hospitalisations in the US reached a record high on Monday at 1,32,646 amid Omicron, according to Reuters. The United States reported at least 11.3 lakh new coronavirus infections on Monday, the highest daily total of any country in the world, Reuters said. Hospitalisations in the US have increased steadily since late December, doubling in the last three weeks.",world
Man in US gets genetically-modified pig heart in world-first transplant,"David Bennett, a 57-year-old US man, has become the first person in the world to get a heart transplant from a genetically-modified pig. Bennett is doing well three days after the experimental seven-hour procedure in Baltimore, doctors said. Doctors had deemed him ineligible for a human transplant due to very poor health.",world
Video shows mother throwing baby into dumpster in US; says 'Didn't know what to do',"An 18-year-old mother was caught on surveillance footage throwing her newborn baby alive into a dumpster in US' New Mexico. Alexis Avila told investigators she didn't know she was pregnant until January 6, when she sought medical attention because she was suffering from abdominal pain. She said she ""panicked and did not know what to do or who to call"".",world
"Robert Durst, US multi-millionaire real estate heir convicted of murder, dies at 78","Multi-millionaire real estate heir Robert Durst, who was sentenced to life in prison in October for murdering his best friend, has died at 78 in a California prison hospital, according to his attorney. He was also charged with murder of his first wife Kathleen Durst, who disappeared in 1982. Robert Durst was the subject of a 2015 HBO documentary series.",world
UC Berkeley professor Pierre-Olivier succeeds Gita Gopinath as IMF Chief Economist,"The IMF has appointed Pierre-Olivier Gourinchas as its next Chief Economist, succeeding India-born Gita Gopinath. Gourinchas is the University of California at Berkeley's Faculty Director of the Clausen Center for International Business and Policy. He will start his new position on January 24 part-time and transition to full-time on April 1. Gopinath will become IMF's First Deputy MD.",world
Police officers ignore active robbery to catch Snorlax in Pokemon Go in US,"Two police officers in US' Los Angeles were fired for ignoring a robbery in progress and instead trying to catch a Snorlax in Pokemon Go, according to court documents published on Friday. The incident happened in April, 2017, at a mall. The police officers were in the area but didn't respond to the call and instead drove away.",world
We have enough vaccines for all Canadians to get 4th dose: Trudeau,Canadian PM Justin Trudeau said the government has secured enough COVID-19 vaccine doses for all eligible Canadians to receive a booster as well as a fourth dose. This comes as the country grapples with rising infection and hospitalisation rates due to the Omicron variant. More than 87% of Canadians aged 12 and older have received two COVID-19 vaccine doses.,world
China halts some US flights after COVID-19 cases among arrivals,"China has ordered the cancellation of over two dozen scheduled flights from US in recent weeks after numerous passengers arriving in the country tested COVID-19 positive. A US-China air agreement allows the countries to operate over 100 weekly flights between the nations, but currently, only a fraction of those are operating. The US has reported over 6.1 crore COVID-19 cases.",world
"Mexican Prez tests COVID-19 +ve for 2nd time, says symptoms are 'mild'","Mexican President Andrés Manuel López Obrador said he has tested positive for coronavirus for the second time, but his symptoms are ""mild"". The 68-year-old, who rarely wears a face mask, got tested after he'd sounded hoarse at a Monday morning news briefing. ""I'll remain isolated and only work from the office and hold online meetings until further notice,"" he added. ",world
Do not travel to Canada: US to citizens over COVID-19 surge,"The US on Monday advised its citizens to ""avoid travel"" to Canada because of a rising number of COVID-19 cases in the neighbouring country. Canadian health officials on Friday had said that new daily cases had soared by 65% in the previous week, threatening healthcare systems. Canada is facing a COVID-19 surge due to the highly transmissible Omicron variant. ",world
Sweden to tighten COVID-19 curbs amid rising infections: PM,"Sweden will introduce new curbs to limit COVID-19 spread amid a ""historically high level"" of infections, PM Magdalena Andersson said on Monday. Sweden, which reported 60,000 COVID-19 cases last week, will from Wednesday onwards not allow restaurants to seat groups larger than eight people. Public events with over 50 people will be permitted if attendees can provide proof of vaccination.",world
Looking forward to stabilisation of situation: India on Kazakhstan,"Speaking about the recent developments in Kazakhstan, the Ministry of External Affairs (MEA) on Monday said that it's looking ""forward to an early stabilisation of the situation"". ""We express our deepest condolences to families of innocent victims who have lost lives in the violence,"" it added. Kazakhstan authorities on Sunday said that 164 people were killed in last week's protests.",world
Iraq's new Parliament elects Speaker months after national election,"The new Parliament in Iraq elected Sunni lawmaker, Mohammed al-Halbousi as the Speaker on Sunday, three months after the national election. The incumbent speaker, Halbousi won after securing 200 votes in the 329-seat house defeating acting Speaker Mahmoud al-Mashahadani. This comes after the Parliament observed heated debates from parties over leadership of the house.",world
Iran Foreign Minister to discuss cooperation agreement with China,"The Iranian Foreign Ministry said that the Foreign Minister, Hossein Amirabdollahian, will visit China by the end of this week to discuss the 25-year cooperation agreement along with various issues. The two countries signed the comprehensive strategic partnership agreement to strengthen their economic and political alliance in March 2021. This comes after both were subjected to US sanctions.",world
North Korea fires 2nd suspected missile in less than a week,"South Korea and Japan on Tuesday said North Korea has fired a ""suspected ballistic missile"", less than a week after it launched what it claimed was a hypersonic missile. South Korea's National Security Council held an emergency meeting and expressed ""strong regret"" over the test. The launch comes after six countries, including US, urged North Korea to end ""destabilising actions"". ",world
"72-year-old US man arrested for threatening to kidnap, kill Trump","A 72-year-old US man has been arrested and charged with allegedly threatening to kidnap and kill ex-President Donald Trump, a criminal indictment showed. Thomas Welnicki, who made a series of threats between July 2020 and December 2021, had at least once referred to Trump as ""Hitler"" and said he would do ""everything"" he can to make sure Trump was killed. ",world
Myanmar military govt accuses US diplomats of COVID rules violation,"The military government in Myanmar has accused US diplomats of breaking coronavirus-related rules of the country. The government said that two US diplomats were allowed to receive treatment for COVID-19 at properties of the American embassy without any permission from local authorities. This was done despite the embassy being informed to admit the patients to designated hospitals, it added.",world
China offers Kazakhstan support to deter 'external forces' amid riots,"Chinese Foreign Minister Wang Yi on Monday said that China is willing to support Kazakhstan maintain stability amid anti-government protests. Wang, who spoke to Kazakh Deputy PM, said Beijing can increase ""law enforcement and security cooperation"" with Kazakhstan and help the country oppose interference by ""external forces"". Riots triggered by a fuel price hike broke out last week in Kazakhstan.",world
Sudan pro-democracy group rejects UN offer for talks with military,"Sudan's leading pro-democracy group, the Sudanese Professionals' Association (SPA) rejected UN's offer to mediate talks with the military. SPA said that the ""only way"" out of the ongoing crisis is through the removal of the generals from power. The group reiterated its demand for a fully civilian government. Sudan plunged into crisis after a military coup in October last year.",world
"Kazakhstan govt blames Islamic radicals for unrest, detains 8,000","Kazakhstan Foreign Ministry on Monday said that the country was subjected to armed aggression by radical Islamist groups. The ministry added that the government detained nearly 8,000 people to control the situation. This comes after government buildings and security forces were attacked last week after peaceful protests over fuel price hike turned into violent anti-government demonstrations.",world
Philippines sees record high daily COVID-19 cases for 3rd straight day,"The Philippines reported 33,169 new COVID-19 cases on Monday, logging a record high caseload for the third straight day. The authorities added that 145 deaths were confirmed taking the death toll to over 50,000. However, the existing restrictions allowing restaurants, gyms to operate at 30% capacity will remain. The country reported 26,458 and 28,707 cases on Saturday and Sunday respectively.",world
"Nearly 10,000 detained in Kazakhstan over violent protests","Nearly 10,000 people in Kazakhstan were detained by security forces during the violent anti-government protests last week, the Interior Ministry said. ""A substantial number of foreign nationals"" were among the detainees, officials said. Kazakhstan's President Kassym-Jomart Tokayev had said the protests, in which at least 164 people were killed, were instigated by ""terrorists"" with foreign backing.",world
Israel not bound by any nuclear deal with Iran: PM Naftali Bennett,"Israeli PM Naftali Bennett said on Monday that Israel isn't bound by any nuclear deal with Iran and is free to act without “constraints"" against Iran if necessary. PM Bennett’s comments come amid indirect talks between US and Iran to restart the stalled 2015 Iran nuclear deal. Israel had condemned this deal and views a nuclear-armed Iran as existential threat.",world
European Parliament President David Sassoli dies aged 65,"European Parliament President David Sassoli has died at the age of 65, his spokesman said. He was admitted to hospital in Italy last month due to a ""serious complication"" with his immune system. Sassoli left a three-decade career in journalism and became a member of the European Parliament in 2009. He was elected as the European Parliament President in 2019.",world
"Shivakumar seen 'coughing' refuses COVID-19 test, says 'you can't force me'","Amid a surge in COVID-19 cases, Congress leader DK Shivakumar has refused to undergo a COVID-19 test. ""I am fit and fine. You can't compel me [to give my sample]...Tell your Home Minister I am perfect,"" Shivakumar said. This comes after Karnataka BJP on Sunday shared a video on Twitter purportedly showing Shivakumar coughing during a protest march in Karnataka.",politics
Saina demeaned for her political stand by so-called popular actor: Smriti Irani,"Union Minister Smriti Irani said badminton player Saina Nehwal was demeaned for her political position by a ""so-called popular actor"".  She added, ""Ms Nehwal had a point of view. But she was demeaned and objectified. Should such men be brought to justice?"" Actor Siddharth had tweeted ""Subtle cock champion of the world"" retweeting Nehwal's tweet on PM Modi's security breach.",politics
Making cheap comment on Saina shows ignoble mentality: Law Minister on Siddharth,"Union Law Minister Kiren Rijiju has said that making a cheap comment on an iconic personality like Saina Nehwal depicted a person's ""ignoble mentality"". Rijiju added India is proud of Saina for her outstanding contributions and she is a steadfast patriot besides being an Olympic medalist. This comes after actor Siddharth's ""Subtle cock champion of the world"" tweet targeting Nehwal.",politics
"PM Modi's picture, name excluded from vaccination certificates in 5 poll-bound states","The Health Ministry has removed PM Narendra Modi’s picture and name from the COVID-19 vaccination certificates being issued in the five poll-bound states. This is in accordance with the Model Code of Conduct coming into effect in Uttar Pradesh, Uttarakhand, Punjab, Goa and Manipur from Saturday. The elections will be held between February 10 and March 7 in seven phases. 
",politics
Amarinder Singh's party gets hockey stick & ball as election symbol,"Former Punjab CM Captain Amarinder Singh's newly-launched party, Punjab Lok Congress, has been allotted a hockey stick and ball as an election symbol by the Election Commission. 
""Now all that is left is to score the goal,"" the party tweeted. Punjab will go to the polls on  February 14 and the results will be announced on March 10. ",politics
"Michael Lobo resigns as Goa minister, quits BJP ahead of polls","Goa minister and BJP MLA Michael Lobo on Monday announced that he's resigned from both his posts and has also quit from the party, ahead of the state Assembly polls scheduled for next month. ""Voters told me that...BJP is no more a party of the common people,"" he said. He added that he is ""in talks with other political parties"".",politics
Actor Sonu Sood's sister Malvika joins Congress ahead of Punjab elections,"Ahead of the Punjab Assembly elections, actor Sonu Sood’s sister Malvika Sood joined the Congress party in Moga on Monday. Several pictures of Punjab Congress chief Navjot Singh Sidhu meeting the actor and his sister surfaced on social media. In November, Sonu Sood had announced that his sister Malvika will join politics and would decide the political party soon.",politics
"Goa MLA Zantye quits BJP, says 'was sidelined after Parrikar's death'","Goa MLA Pravin Zantye on Monday quit the ruling BJP ahead of the state Assembly elections on February 14. The legislator from the Mayem seat said he was sidelined in the party after the death of former CM Manohar Parrikar. Earlier in the day, Goa Minister and BJP MLA Michael Lobo announced his resignation from his post and the party.",politics
Can't wait to see her flourish: Sonu Sood wishes sister as she joins Congress,"Actor Sonu Sood's sister Malvika Sood on Monday joined the Congress party in Punjab. Taking to Twitter, he tweeted, ""As my sister, Malvika Sood embarks on her political journey, I...can't wait to see her flourish in this new chapter of her life."" Sonu added that his work as an actor and humanitarian will continue ""without any political affiliations or distractions"".",politics
30 booked for COVID-19 violations during Cong's Mekedatu protest,"An FIR has been filed against 30 people for violating coronavirus protocols during Congress' protest seeking the implementation of the Mekedatu drinking water project, Karnataka Home Minister Araga Jnanendra said on Monday. He added that the Ramanagara district administration has taken the action as per law. ""We will not spare anybody who violates the law,"" he further added.",politics
"This election is between BJP's kaam, Congress' karnama: U'khand CM","Uttarakhand CM Pushkar Singh Dhami said on Monday, ""This election is between our kaam (work) and [Congress'] karnama (misdeeds)."" He added that BJP will publicise the development works done by his government in the upcoming Uttarakhand Assembly election. Dhami said that his party will follow all COVID-19 guidelines and that he is confident of winning the upcoming election.",politics
BJP national president JP Nadda tests positive for COVID-19,"Bharatiya Janata Party (BJP) national president JP Nadda on Monday confirmed that he had tested positive for COVID-19. Taking to Twitter, he said, ""I am feeling fine and have isolated myself on the advice of doctors."" Several political leaders, including Defence Minister Rajnath Singh and Bihar CM Nitish Kumar, have tested positive for COVID-19 today.",politics
